Start
0|3|0|0|7|0|0|0|0
6|0|0|1|9|5|0|0|0
0|9|8|0|0|0|0|6|0
8|0|0|0|6|0|0|0|3
0|0|0|8|0|3|0|0|1
7|0|0|0|2|0|0|0|6
0|6|0|0|0|0|2|8|0
0|0|0|4|0|9|0|0|0
0|0|0|0|8|0|0|7|9
Start
0|1|0|0|0|3|0|0|0
0|3|0|0|8|0|0|4|6
0|0|7|0|0|0|2|0|0
6|0|0|8|0|1|0|0|0
0|8|0|0|3|0|0|5|0
0|0|0|4|0|7|0|0|9
0|0|6|0|0|0|5|0|0
5|7|0|0|2|0|0|9|0
0|0|0|1|0|0|0|7|0
Start
0|0|0|2|1|0|0|0|0
0|0|7|3|0|0|0|0|0
0|5|8|0|0|0|0|0|0
4|3|0|0|0|0|0|0|0
2|0|0|0|0|0|0|0|8
0|0|0|0|0|0|0|7|6
0|0|0|0|0|0|2|5|0
0|0|0|0|0|7|3|0|0
0|0|0|0|9|8|0|0|0
Start
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
9|0|0|0|0|5|6|7|8
0|0|0|0|1|0|0|0|0
0|0|0|0|2|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|4|0|0|0|0
Start
0|3|0|0|7|0|0|0|0
6|0|0|1|0|5|0|0|0
0|9|0|0|0|0|0|0|0
8|0|0|0|6|0|0|0|3
0|0|0|8|0|0|0|0|0
7|0|0|0|0|0|0|0|6
0|0|0|0|0|0|2|0|0
0|0|0|4|0|0|0|0|0
0|0|0|0|0|0|0|0|9
Start
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
0|0|0|0|0|0|0|0|0
